,symbol
800,GABRG2
801,GABRG3
802,GABRP
803,GABRQ
804,HRH1
805,HRH2
806,HRH4
807,HTR1A
808,HTR1B
809,HTR1D
810,HTR1E
811,HTR1F
812,HTR2A
813,HTR2B
814,HTR2C
815,HTR3A
816,HTR5A
817,HTR6
818,HTR7
819,ADRA1A
820,CHRM1
821,CHRM2
822,CHRM3
823,CHRM4
824,CHRM5
825,CHRM1
826,ACHE
827,HAL
828,HARS
829,HDC
830,SLC15A3
831,SLC15A4
832,SLC38A3
833,SLC38A5
834,HAL
835,HRH3
836,HRH4
837,HRH3
838,SMO
839,PGR
840,ADRA1A
841,ADRA1B
842,ADRA1D
843,ADRA2A
844,ADRA2B
845,ADRA2C
846,ADRB1
847,ADRB2
848,ADRB3
849,ADRA1A
850,DHFR
851,TYMS
852,DHFR
853,DHFR
854,CYP51A1
855,ESR1
856,PGR
857,ESR1
858,ABCC8
859,KCNJ1
860,KCNJ10
861,KCNJ11
862,ABCC8
863,PTGS1
864,PTGS2
865,PTGS1
866,SQLE
867,RXRA
868,RXRB
869,RXRG
870,RXRA
871,OPRK1
872,GSG2
873,PKIA
874,PRKACA
875,GSG2
876,SLC6A3
877,ATP1A1
878,CACNA1A
879,CACNA1H
880,CACNA2D2
881,CALM1
882,KCNQ1
883,KCNQ4
884,PDE1A
885,PDE1B
886,TNNC1
887,ATP1A1
888,HRH1
889,SHH
890,SMO
891,SHH
892,NR3C2
893,CA1
894,CA12
895,CA14
896,CA2
897,CA4
898,CA6
899,CA9
900,CYP2A6
901,CA1
902,CHRNA7
903,MMP9
904,CRHR1
905,HTR3A
906,CHRM1
907,HRH1
908,CHRM1
909,CCBL1
910,CRH
911,HCAR3
912,CCBL1
913,EGLN1
914,EGLN2
915,HIF1A
916,EGLN1
917,CASR
918,SIGMAR1
919,ADRB3
920,JUN
921,SLC6A2
922,SLC6A3
923,SLC6A4
924,SLC6A2
925,GABRA1
926,GABRA2
927,GABRA3
928,GABRA4
929,GABRA5
930,GABRA6
931,GABRB2
932,GABRG2
933,GABRA1
934,CTSB
935,CTSL
936,CTSV
937,CTSB
938,CYP19A1
939,PGR
940,CHRNA1
941,CHRM1
942,CHRM2
943,CHRM3
944,CHRM4
945,CHRM1
946,ADRB1
947,ADRB2
948,ADRB3
949,ADRB1
950,DIO1
951,TPO
952,DIO1
953,ACSL3
954,ACSL4
955,FADS1
956,FFAR1
957,PPARD
958,PPARG
959,PTGS1
960,PTGS2
961,SLC8A1
962,TRPV1
963,ACSL3
964,AVPR1A
965,AVPR1B
966,AVPR2
967,OXTR
968,AVPR1A
969,PTGS1
970,PTGS2
971,PTGS1
972,AR
973,GABRA1
974,CHRNA2
975,CHRNA3
976,CHRNA4
977,CHRNA6
978,CHRNA7
979,CHRNB2
980,CHRNB4
981,CHRNA2
982,TRPA1
983,ADRA2A
984,DRD2
985,HTR1B
