,symbol
1198,GABRA1
1199,GABRA2
1200,GABRA3
1201,GABRA4
1202,GABRA5
1203,GABRA6
1204,GABRG2
1205,GABRA1
1206,DNMT1
1207,DNMT3A
1208,DNMT3B
1209,DNMT1
1210,CHRM1
1211,CHRM2
1212,CHRM3
1213,CHRM4
1214,CHRM5
1215,HRH1
1216,KCNH1
1217,KCNH2
1218,CHRM1
1219,AKT1
1220,AKT2
1221,AKT3
1222,AKT1
1223,MAOA
1224,MAOB
1225,MAOA
1226,EPHB4
1227,TYMS
1228,F2
1229,GRIA1
1230,GRIA2
1231,GRIA3
1232,GRIA4
1233,GRIA1
1234,AHR
1235,DHODH
1236,PTK2B
1237,AHR
1238,CHEK1
1239,RARA
1240,SENP2
1241,USP1
1242,USP2
1243,USP7
1244,SENP2
1245,PTGS1
1246,PTGS2
1247,SLC5A8
1248,PTGS1
1249,PARP1
1250,PARP2
1251,PARP1
1252,NR3C1
1253,NR3C2
1254,NR3C1
1255,CHRM1
1256,CHRM2
1257,CHRM3
1258,CHRM1
1259,NR3C1
1260,SERPINA6
1261,NR3C1
1262,CDK1
1263,CDK2
1264,CDK4
1265,CDK5
1266,CDK6
1267,CDK7
1268,CDK8
1269,CDK9
1270,EGFR
1271,PYGM
1272,CDK1
1273,CDC25A
1274,CDC25B
1275,CDC25C
1276,CDC25A
1277,RARG
1278,EGFR
1279,NR1I2
1280,EGFR
1281,GSK3B
1282,TGFBR1
1283,PTGS2
1284,LDLR
1285,HRH3
1286,AKT1
1287,CHEK1
1288,GSK3B
1289,LCK
1290,MAPK1
1291,MAPK11
1292,MAPK12
1293,MAPK14
1294,MAPK8
1295,MTOR
1296,PIK3CA
1297,PIK3CB
1298,PIK3CD
1299,PIK3CG
1300,PLK1
1301,PRKCA
1302,PRKDC
1303,ROCK1
1304,RPS6KB1
1305,SGK1
1306,AKT1
1307,TYMS
1308,BCL2
1309,CSF1R
1310,EGFR
1311,FGFR1
1312,FGFR2
1313,FGFR3
1314,FLT1
1315,FLT3
1316,FLT4
1317,INSR
1318,KDR
1319,KIT
1320,PDGFRA
1321,PDGFRB
1322,CSF1R
1323,HDAC1
1324,HDAC2
1325,HDAC3
1326,HDAC4
1327,HDAC5
1328,HDAC6
1329,HDAC7
1330,HDAC8
1331,HDAC9
1332,HDAC1
1333,HSPA1A
1334,LPA
1335,ENOX2
1336,SPHK1
1337,ENOX2
1338,BRAF
1339,JAK2
1340,PGR
1341,HPGDS
1342,TOP2A
1343,PTPMT1
1344,CHRM1
1345,CHRM2
1346,CHRM3
1347,CHRM4
1348,CHRM5
1349,DRD1
1350,DRD2
1351,DRD3
1352,HRH1
1353,HTR2A
1354,HTR2B
1355,HTR2C
1356,CHRM1
1357,DHFR
1358,TYMS
1359,DHFR
1360,JAK1
1361,JAK2
1362,JAK3
1363,TYK2
1364,JAK1
1365,GSR
1366,ABL1
1367,CSF1R
1368,DDR1
1369,KIT
1370,NTRK1
1371,PDGFRA
1372,PDGFRB
1373,RET
1374,ABL1
1375,ATP1A1
1376,HDAC3
1377,BCL2
1378,TGFBR1
1379,SLC6A3
1380,GABRA1
1381,GABRB1
1382,GABRG2
1383,TSPO
1384,GABRA1
1385,EGFR
1386,KDR
1387,EGFR
1388,FAAH
1389,USP14
1390,CDK1
1391,CDK2
1392,CDK4
1393,CDK5
1394,CDK6
1395,CDK9
1396,CDK1
1397,HSP90AA1
1398,PNP
1399,DRD4
1400,MAPK3
1401,KDR
1402,MET
1403,KDR
1404,CPT1A
1405,NFKBIA
