,feature_name
249,sensitivity_BRD-A27376179-001-01-3::2.5::HTS
250,sensitivity_BRD-A27732521-003-08-3::2.5::HTS
251,sensitivity_BRD-A27883417-300-01-6::2.5::HTS
252,sensitivity_BRD-A27887842-001-04-0::2.5::HTS
253,sensitivity_BRD-A27924917-001-03-3::2.5::HTS
254,sensitivity_BRD-A28044053-001-01-7::2.5::HTS
255,sensitivity_BRD-A28301258-001-03-0::2.5::HTS
256,sensitivity_BRD-A28301258-001-04-8::2.5::HTS
257,sensitivity_BRD-A28318179-003-08-5::2.5::HTS
258,sensitivity_BRD-A28329383-001-02-1::2.5::HTS
259,sensitivity_BRD-A28467416-002-01-0::2.5::HTS
260,sensitivity_BRD-A28545468-003-16-6::2.5::HTS
261,sensitivity_BRD-A28856712-003-26-0::2.5::HTS
262,sensitivity_BRD-A28887267-001-19-3::2.5::HTS
263,sensitivity_BRD-A28940325-001-24-0::2.5::HTS
264,sensitivity_BRD-A28958257-001-01-2::2.5::HTS
265,sensitivity_BRD-A28970875-300-04-9::2.5::HTS
266,sensitivity_BRD-A29111201-001-04-8::2.5::HTS
267,sensitivity_BRD-A29260609-003-26-0::2.5::HTS
268,sensitivity_BRD-A29281099-003-03-2::2.5::HTS
269,sensitivity_BRD-A29289453-001-04-7::2.5::HTS
270,sensitivity_BRD-A29349577-001-23-0::2.5::HTS
271,sensitivity_BRD-A29426959-050-13-2::2.5::HTS
272,sensitivity_BRD-A29485665-001-12-8::2.5::HTS
273,sensitivity_BRD-A29520968-001-02-7::2.5::HTS
274,sensitivity_BRD-A29623586-001-01-3::2.5::HTS
275,sensitivity_BRD-A29644307-050-17-0::2.5::HTS
276,sensitivity_BRD-A29700858-304-01-8::2.5::HTS
277,sensitivity_BRD-A29700858-304-02-6::2.5::HTS
278,sensitivity_BRD-A29731977-001-04-5::2.5::HTS
279,sensitivity_BRD-A29734509-011-13-6::2.5::HTS
280,sensitivity_BRD-A29844814-300-01-5::2.5::HTS
281,sensitivity_BRD-A29854054-236-12-6::2.5::HTS
282,sensitivity_BRD-A29944538-003-08-3::2.5::HTS
283,sensitivity_BRD-A30051119-002-01-8::2.5::HTS
284,sensitivity_BRD-A30205217-001-11-2::2.5::HTS
285,sensitivity_BRD-A30403214-001-03-3::0.25::HTS
286,sensitivity_BRD-A30582499-003-05-1::2.5::HTS
287,sensitivity_BRD-A30590053-003-02-9::2.5::HTS
288,sensitivity_BRD-A30655177-001-14-0::2.5::HTS
289,sensitivity_BRD-A30693873-003-12-8::2.5::HTS
290,sensitivity_BRD-A30703952-201-01-2::2.5::HTS
291,sensitivity_BRD-A30815329-001-10-5::2.5::HTS
292,sensitivity_BRD-A30886737-001-02-9::2.5::HTS
293,sensitivity_BRD-A30984645-001-01-5::2.5::HTS
294,sensitivity_BRD-A31095847-001-02-3::2.5::HTS
295,sensitivity_BRD-A31159102-003-30-4::2.5::HTS
296,sensitivity_BRD-A31454688-001-01-6::2.5::HTS
297,sensitivity_BRD-A31521121-001-26-4::2.5::HTS
298,sensitivity_BRD-A31564021-001-01-8::2.5::HTS
299,sensitivity_BRD-A31800922-003-25-1::2.5::HTS
300,sensitivity_BRD-A31811760-001-06-7::2.5::HTS
301,sensitivity_BRD-A31990649-304-02-3::2.5::HTS
302,sensitivity_BRD-A32172948-001-07-6::2.5::HTS
303,sensitivity_BRD-A32269193-001-01-5::2.5::HTS
304,sensitivity_BRD-A32505112-001-04-4::2.5::HTS
305,sensitivity_BRD-A32597168-001-03-6::2.5::HTS
306,sensitivity_BRD-A32673558-003-03-9::2.5::HTS
