,ghi
CTDP1,3.3729520979100003
YBX3,6.33002051584
STYK1,0.20163386116999998
WNK1,5.32373033752
CCAR1,5.2536111519499995
OGFR,3.9307373375599997
GNA15,0.0
CREB3L3,0.0
PIGV,3.6599245583999997
PTPRU,3.7169908944
SNRNP40,5.385085853550001
RIMBP2,0.0
COL11A1,0.32192809488699997
QSER1,2.45154083302
MPC1,5.464668267
ACAA1,4.5077946402
BCAT1,0.0976107966264
HDAC7,3.26753579807
LZTS1,3.7180875839599996
PRDM6,0.454175893186
WNT8A,0.0
SPAG4,1.33342373373
NCKAP1,6.3719072976
MRPS35,5.474436043250001
GUCY1B1,1.30451104181
SFSWAP,4.53543091487
TNK2,3.2720231890599996
MON2,3.4502214958999997
CDH3,4.3645724323
ARSF,0.0
GPBP1,5.28540221886
DGAT2,1.7655347463599997
ZNF112,1.48026512205
CS,7.01223343589
LTK,1.55090066465
MRPS24,6.7851581774000005
ELMO2,5.460742563790001
WAPL,4.32409051604
VMP1,7.867772940289999
APPBP2,4.29719141657
POLD1,4.49825086753
SEZ6,1.04264433741
EIF4B,8.19849415364
SLC6A16,0.62293035092
BICRA,3.01970191444
SPHK2,3.5058909297300005
RPL18,10.781113778599998
CA11,2.55090066465
ISOC2,5.69237139971
U2AF2,6.912290583350001
EPN1,4.39437694496
MED29,4.41683974191
AHRR,2.79908730607
GSC2,0.0
ZNF275,1.9221978484
MTMR1,2.4249220882099998
GPC1,3.97452931248
ADCK1,2.79285535236
HAGH,4.9630116476
RNF4,4.6797615735199996
CASP8,1.5109619192800001
LIMCH1,2.8217102150300004
INTS13,4.02680005934
TM7SF3,5.8999006636
DLX3,0.44360665147600004
SPA17,0.38956681176299995
TSPAN32,0.042644337408499995
WISP2,0.0
DMRT3,0.0
ST3GAL6,6.038480079939999
ATP2C2,0.0
NGFR,0.464668267003
CDON,3.36737106565
TAF2,5.19179950107
HIPK2,2.95233356637
TNPO3,5.53667461757
RFXANK,5.51159454154
TMEM161A,4.82068956056
LPAR2,3.3204846780199997
CTSA,7.212861116589999
SUGP2,4.1001366712900005
SLC12A2,1.85199883711
SNX24,2.8359240742500003
EYA2,0.0
CNN2,3.48026512205
ABCA7,1.08406426479
SNCAIP,0.8953026213330001
DDX20,3.3757345385799997
BTBD1,5.54689445989
FAR2,4.36527259976
BCAS1,0.0285691521968
POU1F1,0.0
CHI3L2,0.0143552929771
SBNO2,3.23266075679
PMS1,4.33413917884
HMG20B,5.22380865861
CALCRL,0.12432813500199999
TAF11,5.68229237143
ANKS1A,3.87085786436
AP3D1,4.97361127552
ZNF76,4.47053686509
SLC9A3R2,2.51096191928
NTHL1,4.16992500144
UHRF1BP1,4.26903314646
GNAI3,2.21412480535
IPO5,5.709842019269999
OAT,5.6313953537
WDR3,5.00405188451
PKN2,4.766595161730001
WDR18,3.8135246893
TRAM2,3.1391420191500004
NTN1,0.0143552929771
GLP2R,0.0
MCM10,2.7612852733599995
DGKA,2.53106949273
ERBB3,4.772941337830001
ROPN1,0.807354922058
ANKRD44,5.09887428674
KARS,5.52950864107
ADAT1,3.99186193056
PDIA5,4.59633886421
TBC1D22B,3.26153081524
NDUFB4,7.49377540846
SPEN,4.32696871159
MYLK,1.85996954822
ZC3H15,6.37833821199
MAP2K4,3.9909548604
TMEM206,3.5285713188699996
SNAP91,0.22650852980900002
SLK,3.29278174923
CYB5R4,2.60407132367
COL17A1,0.22650852980900002
GSTO2,1.54101915313
SEC61A2,2.8659188145499996
PRKCQ,0.0
TLE2,0.18903382439
ASB1,4.564987800959999
FAM107B,2.1407786557799997
ME1,3.37989816352
TBC1D1,4.62468581053
CDK13,4.22727899447
MTHFD2,8.0710868912
SLC9A7,0.0143552929771
FOXJ2,2.10768786931
YBX1,8.670797856410001
PDE4A,1.76128527336
PPP2R5A,4.740927560319999
CTNNA2,0.286881147788
ELAVL1,5.421223299229999
TIE1,0.0
DIP2B,4.377123749130001
SMARCD1,5.61529857909
KDM4A,5.056583528369999
NFYC,5.62497817957
ZMYND12,1.0285691522
SLC9A3,2.67355642399
NGEF,0.111031312389
ASPM,4.74200621087
CD84,0.0565835283664
ELOVL1,5.945326777259999
SPI1,0.0840642647885
ZNRD1,6.06393430575
MPPED2,0.12432813500199999
CLDN18,0.042644337408499995
ZBTB11,3.29425313644
ATXN3,4.9968406478
GOLGA5,4.20476675065
FGFR2,0.0840642647885
LRRC40,4.135863165369999
ISOC1,2.80941444424
EML1,2.12763327973
TRMT11,3.2078928516400005
THUMPD1,3.98913900737
MSANTD3,2.9068905956099997
KIF26A,1.37295209791
ATG2B,2.5033487351700003
ARFGEF1,5.96693797928
ACSM2B,0.0
ZFAT,6.18883607303
MTFR1,5.82196526587
STAG3,5.38818953716
FECH,4.85897561429
MYO9A,2.7697717392500003
DDX3Y,0.0
PFKP,4.00539998774
IDI1,4.94673086014
SP100,2.017921908
KLF6,3.4462562298900004
PLPP1,4.02768487694
NEO1,3.9523335663699997
TRAM1,7.7730072971399995
PHKA1,0.0
TNFRSF1A,5.261906859830001
CACNB1,1.53106949273
EVI5,2.85598969731
STOML1,2.1407786557799997
PKM,8.60862445945
DHX29,3.89336221076
DNTTIP2,5.09803208296
METTL22,4.23878685959
TP53BP1,3.73335434061
TRO,5.07852444539
RRP15,3.5397791917
RHOA,7.7355221773
DHX8,5.04526821514
PRKCZ,2.01077983875
ZFY,0.0
IARS2,6.9934479323300005
SYT1,0.0565835283664
NAV3,1.60880924268
IDH3G,5.242602505930001
ROGDI,3.23878685959
PDZD4,2.64846544303
ATP2B3,0.432959407276
ROCK1,4.510961919280001
CBFB,3.7782085764
PDK3,2.44890095115
HYAL2,4.63575439128
HDAC4,4.4574629646499995
RASSF1,2.92599941856
FGFR3,3.7387678368
IFI35,5.43929068104
HEATR6,3.9927684307699995
COASY,5.51001246545
PLEKHH3,4.33055840003
MEF2A,4.33913738492
OTUD5,4.09929520434
TFE3,3.56071495447
TBC1D25,3.0391383939099996
ACSL4,3.4222330006800004
INPP5A,3.5993177937
GPKOW,4.33771109213
GRIPAP1,4.0062980238999994
FTSJ1,6.2520977030400005
PRR11,6.150965783559999
REEP1,1.0285691522
ATP11A,4.64731450955
POLR1A,3.89141918685
LAPTM4A,7.7176764230699995
TTC7A,1.0772429989299999
IP6K2,5.3056057895899995
SRBD1,3.39643353125
KIF2A,5.1342209397600005
RASGRP2,0.757023246507
PSME4,5.57379864359
