X1,genes,pvalue,statistic,padj
1949,expression_CTDSPL,3.06924504847447e-16,0.130004453902113,5.98502784452521e-13
1950,expression_LRIG3,3.04382360954497e-16,0.13001930024249,5.93849986222223e-13
1951,expression_CGREF1,2.97704393989543e-16,0.130058890483496,5.81118977067588e-13
1952,expression_GJA9,2.90364302156124e-16,0.130103429504627,5.6708148211091e-13
1953,expression_UQCRQ,2.84779007442458e-16,0.130138070965507,5.56742959549997e-13
1954,expression_SNX17,2.84779007442454e-16,0.130138070965507,5.56742959549997e-13
1955,expression_FAM104B,2.83202764212209e-16,0.130147968525758,5.5394460679908e-13
1956,expression_LCA5L,2.79299704289635e-16,0.130172712426387,5.46589521294816e-13
1957,expression_PCYOX1,2.64946008211129e-16,0.130266739248775,5.18764284077391e-13
1958,expression_PRKX,2.4510973345369e-16,0.130405305092295,4.80169967835779e-13
1959,expression_ZDHHC24,2.44429074718575e-16,0.13041025387242,4.79080986448406e-13
1960,expression_TAP1,2.42398265006217e-16,0.130425100212798,4.75342997677192e-13
1961,expression_KIF5A,2.31200815095237e-16,0.130509229474934,4.53615999216856e-13
1962,expression_FEM1C,2.20513899772706e-16,0.130593358737071,4.32868785253822e-13
1963,expression_LRP10,2.18679224894133e-16,0.130608205077448,4.29485997692078e-13
1964,expression_FAM160A1,2.16256395006196e-16,0.130628000197951,4.24943816187175e-13
1965,expression_CBR3,2.11489896898573e-16,0.130667590438957,4.15789137302595e-13
1966,expression_OSBP2,1.98909870343291e-16,0.130776463601722,3.91255714965253e-13
1967,expression_C20orf204,1.96155378154794e-16,0.130801207502351,3.86033784208634e-13
1968,expression_SLC29A4,1.92899619297998e-16,0.130830900183105,3.79819350397758e-13
1969,expression_NFKBIL1,1.91291788241831e-16,0.130845746523482,3.77036114624648e-13
1970,expression_GINM1,1.91291788241831e-16,0.130845746523482,3.77036114624648e-13
1971,expression_GPLD1,1.85508710016648e-16,0.130900183104865,3.65823176152829e-13
1972,expression_TOB1,1.84991608462544e-16,0.13090513188499,3.649884434966e-13
1973,expression_GNPTAB,1.77899750537267e-16,0.13097441480675,3.51174107560565e-13
1974,expression_DOK3,1.70598834937264e-16,0.131048646508636,3.36932699001097e-13
1975,expression_KLHL10,1.67293680381386e-16,0.131083287969516,3.30572312433619e-13
1976,expression_AQP11,1.63593660836277e-16,0.131122878210521,3.2342466747332e-13
1977,expression_MOV10,1.61322266931261e-16,0.13114762211115,3.19095443990035e-13
1978,expression_PLEKHG4B,1.57752585281391e-16,0.131187212352155,3.12192366271872e-13
1979,expression_ARIH1,1.56872410244115e-16,0.131197109912407,3.10607372283348e-13
